what,kind,bundleId,bundleVersion,description,time
closed,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.layout.LayoutEditor",1364044631111
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1364044639104
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1364044649582
opened,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.layout.LayoutEditor",1364044651602
activated,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.layout.LayoutEditor",1364044651645
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1364044657349
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1364044659851
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1364044660845
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1364045084581
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1364045175954
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1364045189724
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1364045220137
opened,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1364045221304
activated,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1364045221326
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1364045249678
activated,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.layout.LayoutEditor",1364045251121
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1364045259123
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1364045262048
activated,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.layout.LayoutEditor",1364045265419
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.lineStart",1364045278795
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1364045279118
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1364045279249
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.lineStart",1364045286924
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1364045320686
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1364045320783
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1364045323395
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1364045327029
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1364045327428
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1364045332683
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1364045349057
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1364045392192
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1364045416653
activated,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1364045416986
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1364045438275
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1364045445531
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1364045445638
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1364045458921
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1364045467872
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1364045469966
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1364045470616
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1364045472579
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1364045474960
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1364045478134
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1364045522262
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1364045550796
